SiteName,YYYYUTC,MMUTC,DDUTC,HHUTC,MMUTC,LATDD,LATMM,LONDD,LONMM,FILE,Atten,Gain,Stacks,Epoch,ApproxDepth,Comments
ApRES246,2019,11,20,20,39,-82,46.9657,-155,22.3523,Survey_2019-11-20_203416.dat,20,-4,64,1,577,
ApRES232,2019,11,20,21,3,-82,46.9897,-155,20.1655,Survey_2019-11-20_205231.dat,20,-4,64,1,585,
ApRES218,2019,11,20,21,12,-82,47.0164,-155,17.9842,Survey_2019-11-20_210629.dat,20,-4,64,1,581,
ApRES190,2019,11,20,21,35,-82,47.0675,-155,13.6182,Survey_2019-11-20_212638.dat,20,-4,64,1,582,
ApRES176,2019,11,20,21,53,-82,47.0933,-155,11.4079,Survey_2019-11-20_214307.dat,20,-4,64,1,582,
ApRES162,2019,11,20,22,4,-82,47.1143,-155,9.2548,Survey_2019-11-20_215545.dat,20,-4,64,1,587,Blurry base
ApRES148,2019,11,20,22,18,-82,47.1422,-155,7.0804,Survey_2019-11-20_220922.dat,24,-4,64,1,586,
ApRES134,2019,11,20,22,31,-82,47.1436,-155,4.9205,Survey_2019-11-20_222227.dat,20,-4,64,1,574,Blurry base
ApRES120,2019,11,20,22,45,-82,47.1892,-155,2.7147,Survey_2019-11-20_223704.dat,20,-4,64,1,596,
ApRES106,2019,11,20,22,58,-82,47.2115,-155,0.5286,Survey_2019-11-20_224917.dat,20,-4,64,1,608,File download?
ApRES092,2019,11,20,22,36,-82,47.2373,-154,58.3343,Survey_2019-11-20_232652.dat,20,-4,64,1,612,
ApRES078,2019,11,20,23,48,-82,47.2628,-154,56.1656,Survey_2019-11-20_233959.dat,20,-4,64,1,624,blurry bed
ApRES064,2019,11,21,0,7,-82,47.2844,-154,53.9975,Survey_2019-11-20_235818.dat,20,-4,64,1,626,
ApRES050,2019,11,21,0,20,-82,47.309,-154,51.8224,Survey_2019-11-21_001047.dat,20,-4,64,1,632,
ApRES036,2019,11,21,0,32,-82,47.3333,-154,49.6067,Survey_2019-11-21_002313.dat,20,-4,64,1,637,
ApRES022,2019,11,21,0,44,-82,47.3568,-154,47.4219,Survey_2019-11-21_003505.dat,20,-4,64,1,641,
ApRES008,2019,11,21,0,59,-82,47.3779,-154,45.1972,Survey_2019-11-21_005007.dat,6,6,64,1,646,Loose Ant
ApRES247,2019,11,21,21,6,-82,46.6869,-155,22.1335,Survey_2019-11-21_205409.dat,6,6,64,0,578,Loose Ant - Repeated
ApRES233,2019,11,21,21,19,-82,46.7212,-155,19.9354,Survey_2019-11-21_210826.dat,6,6,64,0,578,Loose Ant- Repeated
ApRES219,2019,11,21,21,32,-82,46.745,-155,17.7388,Survey_2019-11-21_212405.dat,0,6,64,0,578,Loose Ant- Repeated
ApRES205,2019,11,21,21,44,-82,46.7715,-155,15.56,Survey_2019-11-21_213618.dat,22,-4,64,1,580,
ApRES191,2019,11,21,21,55,-82,46.7936,-155,13.3985,Survey_2019-11-21_214626.dat,20,-4,64,1,583,
ApRES177,2019,11,21,22,6,-82,46.8142,-155,11.2057,Survey_2019-11-21_215723.dat,20,-4,64,1,584,
ApRES163,2019,11,21,22,16,-82,46.8428,-155,9.0491,Survey_2019-11-21_220745.dat,22,-4,64,1,584,
ApRES161,2019,11,21,22,29,-82,47.389,-155,9.4648,Survey_2019-11-21_222103.dat,20,-4,64,1,592,blurry bed
ApRES175,2019,11,21,22,41,-82,47.3705,-155,11.6452,Survey_2019-11-21_223303.dat,20,-4,64,1,592,
ApRES189,2019,11,21,22,52,-82,47.3413,-155,13.8506,Survey_2019-11-21_224407.dat,22,-4,64,1,579,
CP000007,2019,12,8,0,29,-82,28.0185,-152,28.4369,Survey_2019-12-08_001936.dat,20,-4,64,1,,
CP000007,2019,12,21,23,33,,,,,Survey_2019-12-21_232339.dat,20,-4,64,2,,
ApRES203,2019,11,21,23,3,-82,47.3248,-155,15.5752,Survey_2019-11-21_225506.dat,22,-4,64,1,580,Shifted 100 m from runway
ApRES217,2019,11,21,23,46,-82,47.2897,-155,18.1822,Survey_2019-11-21_233731.dat,22,-4,64,1,580,
ApRES231,2019,11,21,23,55,-82,47.2609,-155,20.3807,Survey_2019-11-21_234704.dat,20,-4,64,1,577,
ApRES245,2019,11,22,0,6,-82,47.2348,-155,22.5605,Survey_2019-11-21_235757.dat,20,-4,64,1,576,
ApRES247,2019,11,22,0,18,-82,46.6861,-155,22.1303,Survey_2019-11-22_000947.dat,22,-4,64,1,577,Repeat
ApRES233,2019,11,22,0,28,-82,46.7201,-155,19.9426,Survey_2019-11-22_002018.dat,20,-4,64,1,578,Repeat
ApRES219,2019,11,22,0,38,-82,46.7425,-155,17.7405,Survey_2019-11-22_002931.dat,20,-4,64,1,577,Repeat
ApRES246,2019,12,26,0,8,,,,,Survey_2019-12-25_235806.dat,20,-4,64,2,,
ApRES232,2019,12,26,0,15,,,,,Survey_2019-12-26_000654.dat,20,-4,64,2,,
ApRES218,2019,12,26,0,24,,,,,Survey_2019-12-26_001530.dat,20,-4,64,2,,
ApRES190,2019,12,26,0,34,,,,,Survey_2019-12-26_002521.dat,20,-4,64,2,,
ApRES176,2019,12,26,0,43,,,,,Survey_2019-12-26_003235.dat,20,-4,64,2,,
ApRES162,2019,12,26,0,49,,,,,Survey_2019-12-26_004010.dat,20,-4,64,2,,
ApRES148,2019,12,26,0,56,,,,,Survey_2019-12-26_004652.dat,20,-4,64,2,,
ApRES134,2019,12,26,1,2,,,,,Survey_2019-12-26_005356.dat,20,-4,64,2,,
ApRES120,2019,12,26,1,10,,,,,Survey_2019-12-26_010125.dat,20,-4,64,2,,
ApRES106,2019,12,26,1,16,,,,,Survey_2019-12-26_010808.dat,20,-4,64,2,,
