SiteName,YYYYUTC,MMUTC,DDUTC,HHUTC,MMUTC,LATDD,LATMM,LONDD,LONMM,FILE,Atten,Gain,Stacks,Epoch,ApproxDepth,Comments
CP01,2019,12,7,23,3,-82,29.3696,-152,31.8807,2019-12-07_225600.dat,20,-4,64,1,710,
CP02,2019,12,7,23,20,-82,29.0999,-152,31.2465,2019-12-07_231044.dat,22,-4,64,1,713,
CP03,2019,12,7,23,35,-82,28.8473,-152,30.7217,2019-12-07_232530.dat,22,-4,64,1,718,
CP04,2019,12,7,23,47,-82,28.6123,-152,29.9591,2019-12-07_233943.dat,20,-4,64,1,717,
CP05,2019,12,7,23,59,-82,28.357,-152,29.2781,2019-12-07_235231.dat,20,-4,64,1,613,
CP06,2019,12,8,0,14,-82,28.2004,-152,28.862,2019-12-18_000409.dat,20,-4,64,1,454,
CP07,2019,12,8,0,29,-82,28.0185,-152,28.4369,2019-12-18_001936.dat,20,-4,64,1,462,
CP08,2019,12,8,0,42,-82,27.7892,-152,27.9947,2019-12-18_003236.dat,20,-4,64,1,567,
CP09,2019,12,8,1,48,-82,27.6111,-152,27.4694,2019-12-18_013943.dat,20,-4,64,1,714,
CP10,2019,12,8,2,2,-82,27.4165,-152,26.9755,2019-12-18_015742.dat,22,-4,64,1,717,
CP11,2019,12,8,2,20,-82,27.2157,-152,26.4718,2019-12-18_021102.dat,22,-4,64,1,717,
CP12,2019,12,8,2,35,-82,27.7067,-152,27.7612,2019-12-08_022603.dat,20,-4,64,1,628,
CP13,2019,12,8,2,60,-82,27.8627,-152,28.1431,2019-12-08_024034.dat,20,-4,64,1,547,
CP14,2019,12,8,3,2,-82,28.084,-152,28.6075,2019-12-08_025312.dat,20,-4,64,1,432,
CP15,2019,12,8,3,16,-82,27.9343,-152,28.2547,2019-12-08_030609.dat,22,-4,64,1,521,
CP01,2019,12,21,,,-82,29.3696,-152,31.8807,2019-12-21_215758.dat,20,-4,64,2,710,
CP02,2019,12,21,,,-82,29.0999,-152,31.2465,2019-12-21_221136.dat,22,-4,64,2,713,
CP03,2019,12,21,,,-82,28.8473,-152,30.7217,2019-12-21_222317.dat,22,-4,64,2,718,
CP04,2019,12,21,22,47,-82,28.6123,-152,29.9591,2019-12-21_223725.dat,20,-4,64,2,717,
CP05,2019,12,21,22,58,-82,28.357,-152,29.2781,2019-12-21_224933.dat,20,-4,64,2,613,
CP06,2019,12,21,23,13,-82,28.2004,-152,28.862,2019-12-21_230256.dat,20,-4,64,2,454,
CP07,2019,12,21,23,23,-82,28.0185,-152,28.4369,2019-12-21_231333.dat,20,-4,64,2,462,
CP08,2019,12,22,2,0,-82,27.7892,-152,27.9947,2019-12-22_015010.dat,20,-4,64,2,567,
CP09,2019,12,22,2,23,-82,27.6111,-152,27.4694,2019-12-22_021325.dat,22,-4,64,2,714,
CP10,2019,12,22,2,33,-82,27.4165,-152,26.9755,2019-12-22_022327.dat,22,-4,64,2,717,
CP11,2019,12,22,2,43,-82,27.2157,-152,26.4718,2019-12-22_023324.dat,22,-4,64,2,717,
CP12,2019,12,22,2,12,,,,,2019-12-22_020319.dat,20,-4,64,2,628,
CP13,2019,12,21,23,59,,,,,2019-12-22_235003.dat,20,-4,64,2,547,
CP14,2019,12,21,23,23,,,,,2019-12-21_231333.dat,20,-4,64,2,432,
CP15,2019,12,21,23,33,,,,,2019-12-21_2333833.dat,22,-4,64,2,521,
